Id,ParentId,ChildrenIds,DoIds,level
은평구,서울,[],"['구산동', '녹번동', '수색동', '응암2동', '신사1동', '응암3동', '갈현1동', '대조동', '증산동', '신사2동', '갈현2동', '불광1동', '진관동', '역촌동', '불광2동', '응암1동']",2
종로구,서울,[],"['사직동', '종로1.2.3.4가동', '청운효자동', '삼청동', '평창동', '종로5.6가동', '숭인1동', '가회동', '숭인2동', '혜화동', '교남동', '창신1동', '무악동', '부암동', '이화동', '창신2동', '창신3동']",2
중구,서울,[],"['동화동', '신당동', '장충동', '신포동', '약수동', '중림동', '명동', '청구동', '필동', '영종동', '북성동', '운서동', '소공동', '을지로동', '황학동', '광희동', '회현동', '신당5동', '다산동']",2
중랑구,서울,[],"['망우3동', '망우본동', '면목5동', '면목7동', '상봉2동', '신내1동', '면목본동', '면목2동', '신내2동', '묵1동', '면목3.8동', '중화1동', '묵2동', '중화2동', '면목4동', '상봉1동']",2
과천,경기,[],"['과천동', '별양동', '부림동', '중앙동', '갈현동']",2
광명,경기,[],"['광명5동', '철산3동', '광명6동', '광명7동', '하안1동', '광명2동', '소하1동', '광명3동', '하안2동', '광명4동', '소하2동', '하안3동', '하안4동', '학온동', '철산2동', '광명1동']",2
광주,경기,[],"['광남동', '초월읍', '경안동', '곤지암읍']",2
구리,경기,[],"['수택1동', '수택2동', '수택3동', '인창동', '갈매동', '교문1동', '교문2동']",2
군포,경기,[],"['궁내동', '재궁동', '금정동', '광정동', '군포1동', '대야동', '산본1동', '군포2동', '산본2동', '수리동', '오금동']",2
김포,경기,[],"['김포본동', '사우동', '양촌읍', '운양동', '장기동', '구래동']",2
남양주,경기,[],"['별내동', '별내면', '양정동', '와부읍', '조안면', '진건읍', '진접읍', '퇴계원면', '평내동', '화도읍']",2
동두천,경기,[],"['소요동', '송내동', '보산동', '생연2동']",2
부천,경기,[],"['소사본동', '소사본3동']",2
양주,경기,[],"['회천1동', '회천2동', '양주1동', '장흥면']",2
여주,경기,[],"['능서면', '중앙동']",2
오산,경기,[],"['대원동', '세마동', '신장동']",2
의왕,경기,[],"['고천동', '내손1동', '부곡동', '오전동']",2
의정부,경기,[],"['녹양동', '호원1동', '송산1동', '송산2동', '호원2동', '신곡1동', '신곡2동', '의정부1동', '의정부2동', '의정부3동', '장암동', '가능1동']",2
이천,경기,[],"['부발읍', '신둔면', '중리동']",2
